Date,Open,High,Low,Close,Adj Close,Volume
2018-12-19,48.290001,48.779999,46.660000,46.799999,44.853695,2453600
2018-12-20,46.560001,47.070000,45.439999,46.130001,44.211563,3164500
2018-12-21,46.259998,46.959999,44.230000,44.320000,42.476833,3989100
2018-12-24,44.080002,44.950001,43.700001,44.189999,42.352238,2869700
2018-12-26,44.700001,46.939999,44.700001,46.750000,44.805782,4339800
2018-12-27,46.090000,46.669998,44.910000,46.660000,44.719521,2415200
2018-12-28,46.840000,46.889999,45.660000,46.049999,44.134892,2261400
2018-12-31,46.119999,47.099998,45.549999,46.610001,44.671600,1972000
2019-01-02,45.959999,48.099998,45.669998,47.480000,45.505417,2768400
2019-01-03,47.240002,48.110001,46.590000,47.000000,45.045383,2919700
2019-01-04,47.480000,47.689999,46.669998,46.970001,45.016632,2849600
2019-01-07,46.740002,48.910000,46.650002,48.160000,46.157135,2384700
2019-01-08,49.430000,49.980000,47.860001,49.020000,46.981373,2424700
2019-01-09,48.910000,49.959999,48.209999,49.290001,47.240147,3078300
2019-01-10,45.810001,47.340000,44.599998,47.299999,45.332901,4227800
2019-01-11,47.209999,48.770000,46.840000,47.380001,45.409576,3632600
2019-01-14,47.189999,47.849998,46.939999,47.279999,45.313736,1801300
2019-01-15,47.070000,47.560001,46.980000,47.259998,45.294563,1987100
2019-01-16,43.259998,45.070000,43.040001,45.009998,43.138142,10653100
2019-01-17,44.830002,46.080002,44.770000,45.880001,43.971958,3466400
2019-01-18,46.270000,47.869999,46.270000,47.520000,45.543758,4108800
2019-01-22,47.259998,47.830002,46.779999,47.070000,45.112469,2321600
2019-01-23,47.160000,47.160000,45.900002,46.630001,44.690769,2146400
2019-01-24,46.540001,46.740002,45.599998,46.720001,44.777027,2472600
2019-01-25,47.000000,47.650002,46.730000,47.080002,45.122055,2600800
2019-01-28,46.650002,46.730000,45.689999,46.060001,44.144474,3727300
2019-01-29,45.959999,46.090000,45.240002,45.919998,44.010296,3354900
2019-01-30,46.000000,46.349998,45.250000,45.380001,43.492752,3083300
2019-01-31,45.230000,46.450001,44.959999,46.410000,44.479916,4780000
2019-02-01,46.480000,46.799999,45.200001,45.330002,43.444832,3870100
2019-02-04,45.490002,46.000000,45.020000,45.820000,43.914455,1948600
2019-02-05,46.250000,46.790001,45.959999,46.619999,44.681179,2081300
2019-02-06,46.310001,46.730000,45.820000,46.110001,44.192394,1820800
2019-02-07,46.150002,46.650002,45.810001,46.410000,44.479916,2530800
2019-02-08,46.220001,46.369999,45.380001,45.470001,43.579014,2343800
