Local time,Ask,Bid,AskVolume,BidVolume
11.01.2022 06:30:00.017 GMT-0800,18.734,18.695999999999998,0.75,1
11.01.2022 06:30:00.068 GMT-0800,18.733,18.717000000000002,0.75,1
11.01.2022 06:30:00.644 GMT-0800,18.734,18.695999999999998,0.75,1
11.01.2022 06:30:00.777 GMT-0800,18.724,18.695999999999998,0.75,1
11.01.2022 06:30:00.829 GMT-0800,18.694000000000003,18.666,0.75,1
11.01.2022 06:30:00.933 GMT-0800,18.694000000000003,18.676,0.75,0.0008
11.01.2022 06:30:00.983 GMT-0800,18.683,18.657,0.75,1
11.01.2022 06:30:01.147 GMT-0800,18.674000000000003,18.646,0.75,1
11.01.2022 06:30:01.560 GMT-0800,18.664,18.646,0.75,1
11.01.2022 06:30:01.711 GMT-0800,18.664,18.636,0.75,1
11.01.2022 06:30:02.063 GMT-0800,18.653,18.637,0.75,1
11.01.2022 06:30:02.421 GMT-0800,18.664,18.636,0.75,1
11.01.2022 06:30:02.472 GMT-0800,18.654,18.636,0.75,1
11.01.2022 06:30:02.573 GMT-0800,18.664,18.646,0.75,1
11.01.2022 06:30:02.980 GMT-0800,18.674000000000003,18.646,0.75,1
11.01.2022 06:30:03.190 GMT-0800,18.673,18.657,0.75,1
11.01.2022 06:30:04.292 GMT-0800,18.683,18.667,0.75,1
11.01.2022 06:30:04.342 GMT-0800,18.683,18.657,0.75,1
11.01.2022 06:30:04.861 GMT-0800,18.674000000000003,18.656,0.75,1
11.01.2022 06:30:04.912 GMT-0800,18.684,18.656,0.75,1
11.01.2022 06:30:04.962 GMT-0800,18.684,18.666,0.75,1
11.01.2022 06:30:05.085 GMT-0800,18.684,18.656,0.75,1
11.01.2022 06:30:05.237 GMT-0800,18.683,18.667,0.75,1
11.01.2022 06:30:06.147 GMT-0800,18.674000000000003,18.656,0.75,1
11.01.2022 06:30:06.296 GMT-0800,18.683,18.657,0.75,1
11.01.2022 06:30:06.630 GMT-0800,18.674000000000003,18.656,0.75,1
11.01.2022 06:30:06.782 GMT-0800,18.674000000000003,18.646,0.75,1
11.01.2022 06:30:06.832 GMT-0800,18.664,18.646,0.75,1
11.01.2022 06:30:07.135 GMT-0800,18.673,18.657,0.75,1
11.01.2022 06:30:07.342 GMT-0800,18.684,18.666,0.75,1
11.01.2022 06:30:07.393 GMT-0800,18.693,18.667,0.75,1
11.01.2022 06:30:07.544 GMT-0800,18.683,18.667,0.75,1
11.01.2022 06:30:07.709 GMT-0800,18.694000000000003,18.676,0.75,1
11.01.2022 06:30:07.760 GMT-0800,18.704,18.676,0.75,1
11.01.2022 06:30:07.861 GMT-0800,18.694000000000003,18.676,0.75,1
11.01.2022 06:30:08.042 GMT-0800,18.703,18.677,0.75,1
11.01.2022 06:30:08.093 GMT-0800,18.693,18.677,0.75,1
11.01.2022 06:30:08.402 GMT-0800,18.704,18.676,0.75,1
11.01.2022 06:30:08.503 GMT-0800,18.693,18.677,0.75,1
11.01.2022 06:30:08.604 GMT-0800,18.703,18.677,0.75,1
11.01.2022 06:30:08.949 GMT-0800,18.694000000000003,18.676,0.75,1
11.01.2022 06:30:09.149 GMT-0800,18.704,18.676,0.75,1
11.01.2022 06:30:09.200 GMT-0800,18.693,18.677,0.75,1
11.01.2022 06:30:09.250 GMT-0800,18.704,18.676,0.75,1
11.01.2022 06:30:09.351 GMT-0800,18.694000000000003,18.676,0.75,1
11.01.2022 06:30:09.653 GMT-0800,18.713,18.687,0.75,1
11.01.2022 06:30:09.704 GMT-0800,18.703,18.687,0.75,1
11.01.2022 06:30:09.754 GMT-0800,18.704,18.676,0.75,1
11.01.2022 06:30:09.912 GMT-0800,18.703,18.677,0.75,1
11.01.2022 06:30:10.013 GMT-0800,18.704,18.676,0.75,1
11.01.2022 06:30:10.164 GMT-0800,18.693,18.677,0.75,1
11.01.2022 06:30:10.493 GMT-0800,18.684,18.666,0.75,1
11.01.2022 06:30:10.768 GMT-0800,18.693,18.677,0.75,1
11.01.2022 06:30:10.926 GMT-0800,18.683,18.667,0.75,1
11.01.2022 06:30:11.027 GMT-0800,18.674000000000003,18.656,0.75,1
11.01.2022 06:30:11.458 GMT-0800,18.683,18.667,0.75,1
11.01.2022 06:30:11.559 GMT-0800,18.694000000000003,18.666,0.75,1
11.01.2022 06:30:11.791 GMT-0800,18.683,18.667,0.75,1
11.01.2022 06:30:13.055 GMT-0800,18.693,18.667,0.75,1
11.01.2022 06:30:13.155 GMT-0800,18.684,18.666,0.75,1
11.01.2022 06:30:13.419 GMT-0800,18.694000000000003,18.666,0.75,1
11.01.2022 06:30:13.561 GMT-0800,18.703,18.687,0.75,1
11.01.2022 06:30:13.963 GMT-0800,18.714000000000002,18.695999999999998,0.75,1
11.01.2022 06:30:14.064 GMT-0800,18.724,18.695999999999998,0.75,1
