Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-09-27,146.68,146.9,145.03,145.66,3501861.0,0.0,1.0,132.5579126985057,132.7567314931176,131.06677173891657,131.6361164689415,3501861.0
2017-09-26,146.36,147.42,145.94,146.56,4487620.0,0.0,1.0,132.2687217245248,133.22666682583656,131.88915857117482,132.44946608326285,4487620.0
2017-09-25,145.12,146.03,144.91,145.87,5213144.0,0.0,1.0,131.1481067003487,131.97049353260695,130.95832512367372,131.8258980456165,5213144.0
2017-09-22,145.59,145.59,144.59,145.13,2792200.0,0.0,1.0,131.5728559433832,131.5728559433832,130.6691341496928,131.1571439182856,2792200.0
2017-09-21,145.65,145.8911,145.1,145.26,2554596.0,0.0,1.0,131.6270792510046,131.84496657546336,131.1300322644749,131.27462775146535,2554596.0
2017-09-20,144.93,145.88,144.42,145.88,5447499.0,0.0,1.0,130.97639955954753,131.83493526355338,130.51550144476542,131.83493526355338,5447499.0
2017-09-19,144.79,144.98,144.22,144.39,3464383.0,0.0,1.0,130.84987850843086,131.02158564923204,130.33475708602734,130.4883897909547,3464383.0
2017-09-18,144.81,145.4799,144.27,144.55,3019514.0,0.0,1.0,130.86795294430468,131.47335617389786,130.37994317571187,130.63298527794518,3019514.0
2017-09-15,144.82,145.17,144.08,144.82,7397233.0,0.0,1.0,130.87699016224158,131.1932927900332,130.2082360349107,130.87699016224158,7397233.0
2017-09-14,145.86,146.38,145.51,145.54,3756699.0,0.0,1.0,131.8168608276796,132.28679616039858,131.50055819988793,131.52766985369865,3756699.0
2017-09-13,145.35,146.29,145.34,145.99,4100980.0,0.0,1.0,131.35596271289748,132.20546119896645,131.34692549496057,131.93434466085935,4100980.0
2017-09-12,145.11,146.37,144.51,145.76,5237848.0,0.0,1.0,131.1390694824118,132.27775894246167,130.59683640619755,131.72648864831055,5237848.0
2017-09-11,143.54,145.13,143.01,144.86,4613381.0,0.0,1.0,129.7202262663179,131.1571439182856,129.24125371566197,130.9131390339892,4613381.0
2017-09-08,143.15,143.15,141.64,142.45,3366169.0,0.0,1.0,129.36777476677864,129.36777476677864,128.00315485830615,128.73516951119535,3366169.0
2017-09-07,144.1,144.64,142.41,142.9,4188154.0,0.0,1.0,130.2263104707845,130.71432023937732,128.69902063944775,129.14184431835605,4188154.0
2017-09-06,143.88,144.47,143.5,143.82,3273344.0,0.0,1.0,130.02749167617262,130.56068753444995,129.68407739457027,129.9732683685512,3273344.0
2017-09-05,143.5,144.3575,142.7,143.04,3098735.0,0.0,1.0,129.68407739457027,130.45901883265978,128.96109995961797,129.2683653694727,3098735.0
2017-09-01,142.98,144.5,142.98,144.08,3351733.0,0.0,1.0,129.21414206185128,130.58779918826065,129.21414206185128,130.2082360349107,3351733.0
2017-08-31,143.02,143.66,142.63,143.03,3656428.0,0.0,1.0,129.2502909335989,129.82867288156072,128.89783943405965,129.25932815153578,3656428.0
2017-08-30,143.26,143.28,142.41,142.56,2735966.0,0.0,1.0,129.46718416408459,129.4852585999584,128.69902063944775,128.83457890850133,2735966.0
2017-08-29,142.1,143.425,141.9,143.14,3008020.0,0.0,1.0,128.41886688340372,129.6162982600435,128.23812252466567,129.35873754884173,3008020.0
2017-08-28,144.11,144.56,142.39,142.51,5133363.0,0.0,1.0,130.23534768872142,130.6420224958821,128.68094620357394,128.7893928188168,5133363.0
2017-08-25,143.3,144.19,143.25,143.74,2872893.0,0.0,1.0,129.5033330358322,130.30764543221665,129.45814694614768,129.90097062505598,2872893.0
2017-08-24,142.5,143.68,142.25,142.94,3591673.0,0.0,1.0,128.7803556008799,129.84674731743456,128.5544251524573,129.17799319010365,3591673.0
2017-08-23,140.7,143.05,140.68,142.14,4048317.0,0.0,1.0,127.15365637223718,129.27740258740963,127.1355819363634,128.45501575515135,4048317.0
2017-08-22,140.64,141.15,140.38,141.01,2544346.0,0.0,1.0,127.09943306461577,127.56033117939788,126.86446539825627,127.43381012828121,2544346.0
2017-08-21,139.59,140.42,139.13,140.33,3190691.0,0.0,1.0,126.15052518124087,126.90061427000387,125.73481315614329,126.81927930857177,3190691.0
2017-08-18,140.87,141.15,139.58,139.7,4152714.0,0.0,1.0,127.30728907716457,127.56033117939788,126.14148796330397,126.2499345785468,4152714.0
2017-08-17,142.52,142.89,140.7,140.7,4422087.0,0.0,1.0,128.7984300367537,129.13280710041911,127.15365637223718,127.15365637223718,4422087.0
2017-08-16,141.79,142.91,141.61,142.5,3287450.0,0.0,1.0,128.13871312735972,129.15088153629296,127.97604320449545,128.7803556008799,3287450.0
2017-08-15,142.55,143.34,140.58,142.07,4681545.0,0.0,1.0,128.82554169056442,129.5394819075798,127.04520975699437,128.39175522959303,4681545.0
2017-08-14,142.0,142.76,141.94,142.32,2248607.0,0.0,1.0,128.3284947040347,129.01532326723938,128.27427139641327,128.61768567801562,2248607.0
2017-08-11,142.45,142.59,141.52,141.84,3004360.0,0.0,1.0,128.73516951119535,128.86169056231202,127.89470824306332,128.18389921704423,3004360.0
2017-08-10,141.64,142.42,141.23,141.84,4525059.0,0.0,1.0,128.00315485830615,128.70805785738466,127.63262892289309,128.18389921704423,4525059.0
2017-08-09,141.75,142.03,141.19,141.77,2925770.0,0.0,1.0,128.1025642556121,128.3556063578454,127.59648005114548,128.1206386914859,2925770.0
2017-08-08,142.0,142.76,142.0,142.11,3298718.0,1.5,1.0,128.3284947040347,129.01532326723938,128.3284947040347,128.42790410134066,3298718.0
2017-08-07,145.0,145.09,142.75,143.47,4618284.0,0.0,1.0,129.67095672094138,129.7514421423544,127.65882118561643,128.30270455692042,4618284.0
2017-08-04,145.0,145.39,144.4,145.16,2549400.0,0.0,1.0,129.67095672094138,130.0197268803977,129.13438724485474,129.81404191456448,2549400.0
2017-08-03,144.43,145.34,144.43,144.94,3035213.0,0.0,1.0,129.16121571865907,129.9750127573905,129.16121571865907,129.61729977333272,3035213.0
2017-08-02,145.12,145.29,144.22,144.45,3540949.0,0.0,1.0,129.77827061615872,129.93029863438326,128.97341640202873,129.17910136786193,3540949.0
2017-08-01,145.0,145.67,144.72,145.3,3219477.0,0.0,1.0,129.67095672094138,130.27012596923814,129.42055763210095,129.93924145898472,3219477.0
2017-07-31,144.38,144.93,144.17,144.67,4355718.0,0.0,1.0,129.11650159565184,129.60835694873128,128.9287022790215,129.37584350909373,4355718.0
2017-07-28,144.81,145.04,143.84,144.29,3054834.0,0.0,1.0,129.50104305351394,129.70672801934717,128.63358906717386,129.03601617423885,3054834.0
2017-07-27,145.0,145.395,143.64,145.07,6430841.0,0.0,1.0,129.67095672094138,130.02419829269846,128.45473257514496,129.7335564931515,6430841.0
2017-07-26,146.27,146.46,144.47,145.36,3932361.0,0.0,1.0,130.8066954453248,130.97660911275224,129.19698701706486,129.99289840659338,3932361.0
2017-07-25,146.57,147.49,146.03,146.19,4208895.0,0.0,1.0,131.07498018336813,131.897720046701,130.59206765489014,130.73515284851325,4208895.0
2017-07-24,147.0,147.04,145.8,145.99,3877265.0,0.0,1.0,131.45952164123022,131.49529293963602,130.38638268905694,130.55629635648438,3877265.0
2017-07-21,147.59,147.87,146.51,147.08,6509459.0,0.0,1.0,131.98714829271546,132.23754738155588,131.02132323575947,131.5310642380418,6509459.0
2017-07-20,147.53,148.83,147.03,147.66,7211874.0,0.0,1.0,131.93349134510677,133.09605854329453,131.48635011503455,132.04974806492555,7211874.0
2017-07-19,150.02,150.25,146.71,147.53,14293610.0,0.0,1.0,134.1602546708664,134.3659396366996,131.20017972778837,131.93349134510677,14293610.0
2017-07-18,152.36,154.29,152.0,154.0,7566818.0,0.0,1.0,136.25287562760437,137.97884077568307,135.93093394195236,137.7194988622412,7566818.0
2017-07-17,153.59,153.88,152.2399,153.01,4759840.0,0.0,1.0,137.35284305358198,137.61218496702386,136.145472304141,136.8341592266982,4759840.0
2017-07-14,154.01,154.615,153.4,154.24,3256198.0,0.0,1.0,137.72844168684264,138.26948257523003,137.18292938615454,137.93412665267587,3256198.0
2017-07-13,153.7,154.19,153.19,153.63,2476112.0,0.0,1.0,137.45121412419786,137.88941252966865,136.9951300695242,137.38861435198777,2476112.0
2017-07-12,153.48,154.24,153.05,153.7,3097850.0,0.0,1.0,137.2544719829661,137.93412665267587,136.869930525104,137.45121412419786,3097850.0
2017-07-11,153.26,153.65,152.05,153.19,3447509.0,0.0,1.0,137.05772984173433,137.40650000119066,135.97564806495959,136.9951300695242,3447509.0
2017-07-10,152.91,153.89,152.63,153.42,3206209.0,0.0,1.0,136.74473098068378,137.6211277916253,136.49433189184333,137.2008150353574,3206209.0
2017-07-07,152.62,153.49,152.14,152.94,2460060.0,0.0,1.0,136.4853890672419,137.26341480756756,136.05613348637254,136.7715594544881,2460060.0
2017-07-06,153.36,153.83,152.23,152.36,2757522.0,0.0,1.0,137.14715808774878,137.56747084401667,136.13661890778556,136.25287562760437,2757522.0
2017-07-05,155.77,155.89,153.63,153.67,3564354.0,0.0,1.0,139.30237881669683,139.40969271191415,137.38861435198777,137.42438565039353,3564354.0
2017-07-03,153.58,156.025,153.52,155.58,2822651.0,0.0,1.0,137.34390022898054,139.53042084403367,137.2902432813719,139.1324651492694,2822651.0
2017-06-30,154.28,154.5,153.14,153.83,3571536.0,0.0,1.0,137.96989795108163,138.1666400923134,136.95041594651698,137.56747084401667,3571536.0
2017-06-29,155.35,155.74,153.62,154.13,3262159.0,0.0,1.0,138.92678018343616,139.2755503428925,137.3796715273863,137.83575558205996,3262159.0
2017-06-28,155.15,155.55,154.78,155.32,2217254.0,0.0,1.0,138.7479236914073,139.10563667546506,138.41703918115385,138.89995170963184,2217254.0
2017-06-27,155.0,155.34,154.5,154.75,2386491.0,0.0,1.0,138.61378132238562,138.91783735883473,138.1666400923134,138.39021070734952,2386491.0
2017-06-26,154.71,155.75,154.63,155.23,2153494.0,0.0,1.0,138.35443940894373,139.28449316749393,138.28289681213218,138.81946628821882,2153494.0
2017-06-23,154.34,154.68,153.8,154.11,3282205.0,0.0,1.0,138.0235548986903,138.3276109351394,137.5406423702123,137.8178699328571,3282205.0
2017-06-22,154.55,154.99,153.69,154.4,2376819.0,0.0,1.0,138.21135421532065,138.6048384977842,137.44227129959643,138.07721184629898,2376819.0
2017-06-21,155.79,155.79,153.39,153.79,3959668.0,0.0,1.0,139.3202644658997,139.3202644658997,137.17398656155308,137.53169954561085,3959668.0
2017-06-20,154.48,155.389,154.25,154.95,4481843.0,0.0,1.0,138.1487544431105,138.96165719938182,137.9430694772773,138.5690671993784,4481843.0
2017-06-19,155.51,155.86,154.54,154.84,4629492.0,0.0,1.0,139.06986537705927,139.38286423810985,138.2024113907192,138.4706961287625,4629492.0
2017-06-16,154.23,155.42,152.9676,155.38,6741963.0,0.0,1.0,137.9251838280744,138.98937995564626,136.7962416503881,138.9536086572405,6741963.0
2017-06-15,153.29,154.69,153.29,154.22,4654297.0,0.0,1.0,137.08455831553866,138.33655375974084,137.08455831553866,137.91624100347298,4654297.0
2017-06-14,153.97,154.9399,152.94,153.81,3049524.0,0.0,1.0,137.69267038843685,138.56003494653095,136.7715594544881,137.54958519481377,3049524.0
2017-06-13,155.44,155.48,154.15,154.25,3523529.0,0.0,1.0,139.00726560484915,139.04303690325494,137.85364123126286,137.9430694772773,3523529.0
2017-06-12,154.19,157.2,154.02,155.18,6470545.0,0.0,1.0,137.88941252966865,140.58120273470334,137.7373845114441,138.77475216521162,6470545.0
2017-06-09,152.0,154.265,151.88,154.1,4361460.0,0.0,1.0,135.93093394195236,137.95648371417946,135.82362004673502,137.80892710825563,4361460.0
2017-06-08,151.0,152.82,150.92,152.1,3708962.0,0.0,1.0,135.03665148180792,136.66424555927077,134.96510888499637,136.02036218796678,3708962.0
2017-06-07,153.05,154.2,150.8,150.98,4862943.0,0.0,1.0,136.869930525104,137.89835535427008,134.85779498977905,135.01876583260503,4862943.0
2017-06-06,152.0,152.89,152.0,152.37,3797173.0,0.0,1.0,135.93093394195236,136.7268453314809,135.93093394195236,136.2618184522058,3797173.0
2017-06-05,151.82,152.93,151.6826,152.41,3975268.0,0.0,1.0,135.76996309912636,136.76261662988668,135.64708868910253,136.29758975061156,3975268.0
2017-06-02,153.07,153.2,151.8,152.05,3585701.0,0.0,1.0,136.8878161743069,137.00407289412564,135.7520774499235,135.97564806495959,3585701.0
2017-06-01,152.8,152.87,151.63,152.67,2918122.0,0.0,1.0,136.6463599100679,136.708959682278,135.60004943169892,136.5301031902491,2918122.0
2017-05-31,152.03,152.8,151.65,152.63,3543404.0,0.0,1.0,135.9577624157567,136.6463599100679,135.61793508090182,136.49433189184333,3543404.0
2017-05-30,151.95,152.67,151.59,151.73,3666032.0,0.0,1.0,135.8862198189451,136.5301031902491,135.56427813329313,135.68947767771334,3666032.0
2017-05-26,152.85,153.0,152.06,152.49,2443507.0,0.0,1.0,136.6910740330751,136.82521640209677,135.98459088956102,136.36913234742312,2443507.0
2017-05-25,153.25,153.73,152.9459,153.2,2582714.0,0.0,1.0,137.04878701713287,137.4780425980022,136.77683572100295,137.00407289412564,2582714.0
2017-05-24,152.21,152.76,151.23,152.51,3732399.0,0.0,1.0,136.1187332585827,136.6105886116621,135.24233644764112,136.38701799662599,3732399.0
2017-05-23,152.57,153.68,151.92,152.03,2564503.0,0.0,1.0,136.44067494423467,137.433328474995,135.85939134514078,135.9577624157567,2564503.0
2017-05-22,152.1,152.84,151.5992,152.64,3302139.0,0.0,1.0,136.02036218796678,136.68213120847366,135.57250553192645,136.50327471644476,3302139.0
2017-05-19,151.01,152.46,150.89,151.98,5643264.0,0.0,1.0,135.04559430640936,136.3423038736188,134.93828041119204,135.91304829274947,5643264.0
2017-05-18,150.86,151.33,150.11,150.78,3274371.0,0.0,1.0,134.9114519373877,135.3317646936556,134.2407400922794,134.83990934057616,3274371.0
2017-05-17,153.3,154.14,150.89,150.93,5191494.0,0.0,1.0,137.09350114014012,137.8446984066614,134.93828041119204,134.97405170959783,5191494.0
2017-05-16,151.66,153.99,151.66,153.68,5513690.0,0.0,1.0,135.62687790550325,137.71055603763975,135.62687790550325,137.433328474995,5513690.0
2017-05-15,150.62,151.83,150.4502,151.51,4232921.0,0.0,1.0,134.69682414695305,135.77890592372782,134.5449749852205,135.49273553648158,4232921.0
2017-05-12,150.3,151.265,150.0,150.37,3715702.0,0.0,1.0,134.41065375970683,135.2736363337462,134.1423690216635,134.47325353191695,3715702.0
2017-05-11,151.05,151.15,149.79,150.65,5627964.0,0.0,1.0,135.08136560481515,135.1707938508296,133.95456970503318,134.72365262075738,5627964.0
2017-05-10,151.651,152.37,151.13,151.25,4999861.0,0.0,1.0,135.61882936336195,136.2618184522058,135.1529082016267,135.26022209684405,4999861.0
2017-05-09,152.6,153.1,151.5552,152.11,6853043.0,0.0,1.0,136.467503418039,136.91464464811122,135.5331571036801,136.02930501256824,6853043.0
2017-05-08,152.8,153.47,152.2,153.03,7491966.0,1.5,1.0,136.6463599100679,137.24552915836466,136.10979043398123,136.8520448759011,7491966.0
2017-05-05,153.52,155.78,153.0,155.05,12521335.0,0.0,1.0,135.9575870662547,137.9590471155625,135.49707413455556,137.31255780760026,12521335.0
2017-05-04,158.89,159.14,158.36,159.05,4280613.0,0.0,1.0,140.71326868784007,140.93466913577234,140.24389973822366,140.85496497451675,4280613.0
2017-05-03,158.74,159.45,158.52,158.63,3993292.0,0.0,1.0,140.5804284190807,141.20920569120838,140.3855960249003,140.4830122219905,3993292.0
2017-05-02,159.44,159.49,158.64,159.1,3208239.0,0.0,1.0,141.2003496732911,141.24462976287757,140.49186823990777,140.89924506410318,3208239.0
2017-05-01,160.05,160.42,158.7,158.84,4935312.0,0.0,1.0,141.74056676624588,142.0682394291856,140.54500434741152,140.66898859825363,4935312.0
2017-04-28,160.5,160.59,159.7,160.29,4154147.0,0.0,1.0,142.13908757252395,142.21879173377957,141.43060613914065,141.95311119626083,4154147.0
2017-04-27,160.29,160.48,159.63,160.32,4122943.0,0.0,1.0,141.95311119626083,142.12137553668936,141.36861401371962,141.9796792500127,4122943.0
2017-04-26,160.53,161.1,159.89,160.06,4328001.0,0.0,1.0,142.16565562627582,142.67044864756141,141.59887047956917,141.74942278416316,4328001.0
2017-04-25,161.78,162.04,160.38,160.39,4860407.0,0.0,1.0,143.27265786593725,143.5029143317868,142.03281535751645,142.04167137543374,4860407.0
2017-04-24,161.29,161.57,160.42,160.75,5320608.0,0.0,1.0,142.83871298798996,143.0866814896741,142.0682394291856,142.36048802045624,5320608.0
2017-04-21,162.05,162.11,160.38,160.38,5607756.0,0.0,1.0,143.5117703497041,143.56490645720785,142.03281535751645,142.03281535751645,5607756.0
2017-04-20,161.32,162.4,160.5,162.3,6486809.0,0.0,1.0,142.86528104174184,143.8217309768093,142.13908757252395,143.73317079763638,6486809.0
