Local time,Open,High,Low,Close,Volume
24.01.2022 06:31:55.000 GMT-0800,25.226,25.226,25.196,25.196,6
24.01.2022 06:31:56.000 GMT-0800,25.197,25.207,25.196,25.207,7.2
24.01.2022 06:31:57.000 GMT-0800,25.197,25.207,25.197,25.197,4.5
24.01.2022 06:31:58.000 GMT-0800,25.207,25.237,25.207,25.237,6
24.01.2022 06:31:59.000 GMT-0800,25.226,25.226,25.226,25.226,1.2
24.01.2022 06:32:00.000 GMT-0800,25.226,25.237,25.226,25.227,4.499999999999999
24.01.2022 06:32:01.000 GMT-0800,25.226,25.236,25.226,25.236,2.4
24.01.2022 06:32:02.000 GMT-0800,25.237,25.237,25.236,25.236,2.4
24.01.2022 06:32:03.000 GMT-0800,25.236,25.247,25.236,25.247,4.8
24.01.2022 06:32:04.000 GMT-0800,25.247,25.257,25.247,25.257,3.5999999999999996
24.01.2022 06:32:05.000 GMT-0800,25.266,25.276,25.266,25.276,2.4
24.01.2022 06:32:06.000 GMT-0800,25.286,25.286,25.277,25.277,2.4
24.01.2022 06:32:07.000 GMT-0800,25.287,25.287,25.287,25.287,1.2
24.01.2022 06:32:13.000 GMT-0800,25.246,25.246,25.246,25.246,1.2
24.01.2022 06:32:16.000 GMT-0800,25.256,25.256,25.246,25.256,3.5999999999999996
24.01.2022 06:32:17.000 GMT-0800,25.246,25.246,25.237,25.237,2.4
24.01.2022 06:32:19.000 GMT-0800,25.227,25.227,25.217,25.217,3.5999999999999996
24.01.2022 06:32:20.000 GMT-0800,25.217,25.227,25.217,25.227,2.4
24.01.2022 06:32:21.000 GMT-0800,25.216,25.217,25.216,25.217,3.5999999999999996
24.01.2022 06:32:22.000 GMT-0800,25.216,25.227,25.216,25.227,3.5999999999999996
24.01.2022 06:32:23.000 GMT-0800,25.217,25.246,25.216,25.216,8.4
24.01.2022 06:32:24.000 GMT-0800,25.217,25.236,25.217,25.227,3.5999999999999996
24.01.2022 06:32:25.000 GMT-0800,25.216,25.226,25.216,25.226,3.5999999999999996
24.01.2022 06:32:27.000 GMT-0800,25.216,25.236,25.216,25.226,6
