Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,171.0,171.85,170.48,171.08,16480187.0,0.0,1.0,165.97120515467873,166.79620822123707,165.46649739631363,166.04885250211953,16480187.0
2017-12-27,170.1,170.78,169.71,170.6,21498213.0,0.0,1.0,165.0976724959699,165.75767494921658,164.71914167719606,165.5829684174748,21498213.0
2017-12-26,170.8,171.47,169.679,170.57,33185536.0,0.0,1.0,165.77708678607678,166.42738332089334,164.68905333006276,165.55385066218452,33185536.0
2017-12-22,174.68,175.424,174.5,175.01,16349444.0,0.0,1.0,169.54298313695486,170.26510346815417,169.36827660521308,169.8632784451481,16349444.0
2017-12-21,174.17,176.02,174.1,175.01,20949896.0,0.0,1.0,169.04798129701985,170.84357620658804,168.98003986800916,169.8632784451481,20949896.0
2017-12-20,174.87,175.42,173.25,174.35,23475649.0,0.0,1.0,169.72739558712672,170.2612211007821,168.15503680145082,169.22268782876162,23475649.0
2017-12-19,175.03,175.39,174.09,174.54,27436447.0,0.0,1.0,169.8826902820083,170.23210334549182,168.97033394957907,169.40710027893348,27436447.0
2017-12-18,174.88,177.2,174.86,176.42,29421114.0,0.0,1.0,169.7371015055568,171.9888745813396,169.71768966869664,171.23181294379194,29421114.0
2017-12-15,173.63,174.17,172.46,173.97,40169307.0,0.0,1.0,168.52386170179454,169.04798129701985,167.38826924547308,168.8538629284179,40169307.0
2017-12-14,172.4,173.13,171.65,172.22,20476541.0,0.0,1.0,167.33003373489248,168.03856578028964,166.60208985263512,167.1553272031507,20476541.0
2017-12-13,172.5,173.54,172.0,172.27,23818447.0,0.0,1.0,167.42709291919346,168.43650843592366,166.94179699768856,167.20385679530122,23818447.0
2017-12-12,172.15,172.39,171.461,171.7,19409230.0,0.0,1.0,167.08738577414002,167.32032781646237,166.41864799430627,166.6506194447856,19409230.0
2017-12-11,169.2,172.89,168.79,172.67,35273759.0,0.0,1.0,164.22413983726105,167.80562373796727,163.82619718162704,167.59209353250512,35273759.0
2017-12-08,170.49,171.0,168.82,169.37,23355231.0,0.0,1.0,165.47620331474374,165.97120515467873,163.85531493691732,164.38914045057274,23355231.0
2017-12-07,169.03,170.44,168.91,169.32,25673308.0,0.0,1.0,164.0591392239494,165.42767372259323,163.9426682027882,164.34061085842222,25673308.0
2017-12-06,167.5,170.2047,166.46,169.01,28560000.0,0.0,1.0,162.57413370414437,165.19929346193302,161.56471818741417,164.0397273870892,28560000.0
2017-12-05,169.06,171.52,168.4,169.64,27350154.0,0.0,1.0,164.0882569792397,166.47591291304386,163.44766636285323,164.65120024818538,27350154.0
2017-12-04,172.48,172.62,169.63,169.8,32542385.0,0.0,1.0,167.40768108233326,167.54356394035463,164.6414943297553,164.80649494306695,32542385.0
2017-12-01,169.95,171.67,168.5,171.05,39759288.0,0.0,1.0,164.9520837195184,166.6215016894953,163.5447255471542,166.01973474682924,39759288.0
2017-11-30,170.43,172.14,168.44,171.85,41527218.0,0.0,1.0,165.41796780416314,167.0776798557099,163.4864900365736,166.79620822123707,41527218.0
2017-11-29,172.63,172.92,167.16,169.48,41666364.0,0.0,1.0,167.55326985878474,167.83474149325758,162.24413247752102,164.4959055533038,41666364.0
2017-11-28,174.3,174.87,171.86,173.07,26428802.0,0.0,1.0,169.17415823661113,169.72739558712672,166.80591413966718,167.98033026970904,26428802.0
2017-11-27,175.05,175.08,173.34,174.09,20716802.0,0.0,1.0,169.9021021188685,169.9312198741588,168.2423900673217,168.97033394957907,20716802.0
2017-11-24,175.1,175.5,174.6459,174.97,14026673.0,0.0,1.0,169.95063171101899,170.3388684482229,169.50988595510825,169.8244547714277,14026673.0
