Date,Open,High,Low,Close
2019-12-20 12:24:00,157.0685,157.1000,157.0500,157.1000
2019-12-20 12:23:00,157.0700,157.0950,157.0644,157.0700
2019-12-20 12:22:00,157.0631,157.0700,157.0500,157.0698
2019-12-20 12:21:00,157.0250,157.0650,157.0250,157.0650
2019-12-20 12:20:00,156.9951,157.0500,156.9950,157.0250
2019-12-20 12:19:00,157.0615,157.0615,156.9900,156.9907
2019-12-20 12:18:00,157.1150,157.1285,157.0600,157.0600
2019-12-20 12:17:00,157.1000,157.1144,157.1000,157.1144
2019-12-20 12:16:00,157.0750,157.1000,157.0750,157.0985
2019-12-20 12:13:00,157.1250,157.1300,157.0600,157.1100
2019-12-20 12:12:00,157.1300,157.1300,157.0920,157.1234
2019-12-20 12:11:00,157.1150,157.1400,157.1100,157.1300
2019-12-20 12:10:00,157.1100,157.1200,157.0950,157.1100
2019-12-20 12:09:00,157.1800,157.1800,157.1100,157.1200
2019-12-20 12:08:00,157.1800,157.1900,157.1600,157.1750
2019-12-20 12:07:00,157.1550,157.1800,157.1500,157.1800
2019-12-20 12:06:00,157.1685,157.1800,157.1300,157.1600
2019-12-20 12:05:00,157.1350,157.1700,157.1350,157.1700
2019-12-20 12:04:00,157.1050,157.1450,157.1000,157.1400
2019-12-20 12:03:00,157.1000,157.1200,157.0900,157.1000
2019-12-20 12:02:00,157.0800,157.1000,157.0701,157.0915
2019-12-20 12:01:00,157.0700,157.0950,157.0600,157.0801
2019-12-20 11:58:00,157.1874,157.1900,157.1204,157.1250
2019-12-20 11:57:00,157.2050,157.2250,157.1900,157.1900
2019-12-20 11:56:00,157.1800,157.2100,157.1800,157.2050
2019-12-20 11:55:00,157.1750,157.1800,157.1400,157.1704
2019-12-20 11:54:00,157.2224,157.2300,157.1750,157.1750
2019-12-20 11:53:00,157.2050,157.2300,157.2000,157.2243
2019-12-20 11:52:00,157.2100,157.2300,157.2000,157.2099
2019-12-20 11:51:00,157.2100,157.2300,157.1900,157.2079
2019-12-20 11:50:00,157.2100,157.2200,157.1900,157.2135
2019-12-20 11:49:00,157.2200,157.2200,157.1700,157.2100
2019-12-20 11:48:00,157.1950,157.2400,157.1948,157.2200
2019-12-20 11:47:00,157.1700,157.2050,157.1550,157.1950
2019-12-20 11:46:00,157.1400,157.1800,157.1150,157.1800
2019-12-20 11:45:00,157.1513,157.1550,157.1050,157.1499
2019-12-20 11:44:00,157.1332,157.1796,157.1332,157.1550
2019-12-20 11:43:00,157.1300,157.1500,157.1100,157.1300
2019-12-20 11:42:00,157.1700,157.1900,157.1100,157.1400
2019-12-20 11:41:00,157.1300,157.1700,157.1200,157.1700
2019-12-20 11:40:00,157.0750,157.1300,157.0750,157.1300
2019-12-20 11:39:00,157.0400,157.0800,157.0300,157.0800
2019-12-20 11:38:00,157.0200,157.0700,157.0150,157.0329
2019-12-20 11:37:00,157.0770,157.0775,157.0100,157.0200
2019-12-20 11:36:00,157.0500,157.0800,157.0500,157.0750
2019-12-20 11:35:00,157.1000,157.1038,157.0650,157.0650
2019-12-20 11:34:00,157.1475,157.1700,157.0800,157.0900
2019-12-20 11:33:00,157.0300,157.1486,157.0300,157.1486
2019-12-20 11:32:00,156.9900,157.0300,156.9550,157.0250
2019-12-20 11:31:00,156.8900,157.0000,156.8850,156.9900
2019-12-20 11:30:00,156.8864,156.9100,156.8800,156.8834
2019-12-20 11:29:00,156.8800,156.9100,156.8700,156.8900
2019-12-20 11:28:00,156.8900,156.9000,156.8500,156.8700
2019-12-20 11:27:00,156.9200,156.9500,156.9200,156.9250
2019-12-20 11:26:00,156.9362,156.9400,156.9039,156.9200
2019-12-20 11:25:00,156.9844,157.0000,156.9300,156.9350
2019-12-20 11:24:00,156.9400,156.9800,156.9300,156.9800
2019-12-20 11:23:00,156.9500,156.9600,156.9350,156.9498
2019-12-20 11:22:00,156.9051,156.9600,156.9030,156.9500
2019-12-20 11:21:00,156.9750,156.9800,156.9058,156.9058
2019-12-20 11:20:00,156.9489,156.9900,156.9489,156.9800
2019-12-20 11:19:00,156.9400,156.9676,156.9300,156.9400
2019-12-20 11:18:00,156.9400,156.9800,156.9200,156.9350
2019-12-20 11:17:00,157.0400,157.0600,156.9200,156.9300
2019-12-20 11:16:00,157.0700,157.0750,157.0200,157.0350
2019-12-20 11:15:00,157.0380,157.0700,157.0000,157.0700
2019-12-20 11:14:00,157.1300,157.1400,157.0300,157.0400
2019-12-20 11:13:00,157.0950,157.1400,157.0900,157.1400
2019-12-20 11:12:00,157.1000,157.1100,157.0800,157.0900
2019-12-20 11:11:00,157.0150,157.1000,157.0100,157.0900
2019-12-20 11:10:00,156.9800,157.0200,156.9800,157.0150
2019-12-20 11:09:00,156.9600,156.9800,156.9500,156.9800
2019-12-20 11:08:00,156.8700,156.9600,156.8650,156.9600
2019-12-20 11:07:00,156.8500,156.8900,156.8400,156.8700
2019-12-20 11:06:00,156.8300,156.8450,156.8010,156.8450
2019-12-20 11:05:00,156.7900,156.8300,156.7801,156.8300
2019-12-20 11:04:00,156.7850,156.8000,156.7600,156.8000
2019-12-20 11:03:00,156.7350,156.7900,156.7200,156.7850
2019-12-20 11:02:00,156.7200,156.7400,156.7100,156.7400
2019-12-20 11:01:00,156.7800,156.7800,156.6900,156.7150
2019-12-20 11:00:00,156.7800,156.8100,156.7800,156.7800
2019-12-20 10:59:00,156.7600,156.7800,156.7600,156.7700
2019-12-20 10:58:00,156.7300,156.7600,156.7275,156.7600
2019-12-20 10:57:00,156.7550,156.7700,156.7150,156.7300
2019-12-20 10:56:00,156.7149,156.7575,156.7000,156.7575
2019-12-20 10:55:00,156.7456,156.7600,156.7000,156.7100
2019-12-20 10:54:00,156.7700,156.7800,156.7200,156.7400
2019-12-20 10:53:00,156.7500,156.7800,156.7500,156.7699
2019-12-20 10:52:00,156.8600,156.8700,156.7573,156.7573
2019-12-20 10:51:00,156.9250,156.9250,156.8500,156.8700
2019-12-20 10:50:00,156.8877,156.9300,156.8800,156.9300
2019-12-20 10:49:00,156.8900,156.8900,156.8700,156.8861
2019-12-20 10:48:00,156.9050,156.9050,156.8600,156.9000
2019-12-20 10:47:00,156.9217,156.9221,156.9022,156.9100
2019-12-20 10:46:00,156.9500,156.9600,156.9200,156.9200
2019-12-20 10:45:00,156.9300,156.9500,156.9200,156.9500
2019-12-20 10:44:00,156.9000,156.9300,156.8900,156.9300
2019-12-20 10:43:00,156.9400,156.9450,156.9000,156.9089
2019-12-20 10:42:00,156.9201,156.9681,156.9200,156.9300
2019-12-20 10:41:00,156.8750,156.9400,156.8750,156.9200
