Local time,Open,High,Low,Close,Volume
19.01.2022 06:30:00.000 GMT-0800,19.436,19.457,19.436,19.456,5.999999999999999
19.01.2022 06:30:01.000 GMT-0800,19.467,19.467,19.467,19.467,1.75
19.01.2022 06:30:02.000 GMT-0800,19.456,19.467,19.456,19.466,5.999999999999999
19.01.2022 06:30:03.000 GMT-0800,19.446,19.457,19.446,19.457,2
19.01.2022 06:30:04.000 GMT-0800,19.447,19.447,19.436,19.436,3
19.01.2022 06:30:05.000 GMT-0800,19.446,19.447,19.436,19.447,5
19.01.2022 06:30:06.000 GMT-0800,19.436,19.436,19.436,19.436,1
19.01.2022 06:30:07.000 GMT-0800,19.447,19.447,19.447,19.447,3
19.01.2022 06:30:08.000 GMT-0800,19.446,19.446,19.446,19.446,1
19.01.2022 06:30:09.000 GMT-0800,19.437,19.446,19.437,19.446,2
19.01.2022 06:30:10.000 GMT-0800,19.446,19.446,19.446,19.446,2
19.01.2022 06:30:12.000 GMT-0800,19.436,19.436,19.436,19.436,1
19.01.2022 06:30:13.000 GMT-0800,19.426,19.437,19.426,19.436,4
19.01.2022 06:30:14.000 GMT-0800,19.426,19.426,19.426,19.426,1
19.01.2022 06:30:15.000 GMT-0800,19.436,19.437,19.436,19.437,1.75
19.01.2022 06:30:17.000 GMT-0800,19.446,19.456,19.446,19.456,2
19.01.2022 06:30:21.000 GMT-0800,19.446,19.446,19.446,19.446,1
19.01.2022 06:30:22.000 GMT-0800,19.447,19.447,19.447,19.447,2
19.01.2022 06:30:26.000 GMT-0800,19.436,19.446,19.436,19.446,2
19.01.2022 06:30:27.000 GMT-0800,19.436,19.437,19.436,19.437,2
19.01.2022 06:30:28.000 GMT-0800,19.437,19.446,19.437,19.446,2
19.01.2022 06:30:29.000 GMT-0800,19.457,19.457,19.446,19.446,3
19.01.2022 06:30:30.000 GMT-0800,19.437,19.437,19.437,19.437,1
19.01.2022 06:30:31.000 GMT-0800,19.447,19.447,19.447,19.447,2
19.01.2022 06:30:32.000 GMT-0800,19.447,19.457,19.446,19.457,3
19.01.2022 06:30:33.000 GMT-0800,19.446,19.447,19.437,19.446,4
19.01.2022 06:30:35.000 GMT-0800,19.456,19.456,19.456,19.456,1
19.01.2022 06:30:38.000 GMT-0800,19.446,19.457,19.446,19.456,4
19.01.2022 06:30:39.000 GMT-0800,19.467,19.467,19.457,19.457,2
19.01.2022 06:30:41.000 GMT-0800,19.447,19.447,19.447,19.447,1
19.01.2022 06:30:44.000 GMT-0800,19.447,19.456,19.447,19.456,2
19.01.2022 06:30:46.000 GMT-0800,19.446,19.446,19.446,19.446,1
19.01.2022 06:30:47.000 GMT-0800,19.446,19.456,19.446,19.456,2
19.01.2022 06:30:48.000 GMT-0800,19.467,19.477,19.467,19.477,3
19.01.2022 06:30:49.000 GMT-0800,19.487,19.497,19.487,19.497,2
19.01.2022 06:30:50.000 GMT-0800,19.497,19.506,19.497,19.506,2
19.01.2022 06:30:51.000 GMT-0800,19.496,19.516,19.496,19.507,5
19.01.2022 06:30:52.000 GMT-0800,19.517,19.526,19.517,19.526,4
19.01.2022 06:30:53.000 GMT-0800,19.517,19.527,19.487,19.487,5
19.01.2022 06:30:54.000 GMT-0800,19.486,19.486,19.486,19.486,1
19.01.2022 06:30:57.000 GMT-0800,19.486,19.487,19.486,19.487,2
19.01.2022 06:30:58.000 GMT-0800,19.496,19.496,19.496,19.496,1
19.01.2022 06:30:59.000 GMT-0800,19.486,19.506,19.486,19.506,5
19.01.2022 06:31:00.000 GMT-0800,19.516,19.527,19.516,19.527,2
19.01.2022 06:31:01.000 GMT-0800,19.537,19.537,19.537,19.537,1
19.01.2022 06:31:02.000 GMT-0800,19.527,19.527,19.526,19.526,3
